Name,DesignationName,LocationCode,AuthorizationProfileName,ExpenseProfileName,EmployeeCode,AccountNumber,ReportingToEmployeeCode,Email,Username,DateOfJoining,DateOfBirth,BaseSalary,BaseSalaryFromDate,BaseSalaryToDate,Gender,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,Role9,Role10
HR_DL_24,HR Manager,DL,Employee,GENERAL,47,1122391,26,HR_DL_24@cotecna.test,HR_DL_24@cotecna.test,23-05-2015,01-11-1971,20000,01-04-2019,31-12-2099,M,Employee,Human Resources,,,,,,,,
RM_GJ_02,Location Manager,GJ,Regional Manager,GENERAL,48,1122392,1,RM_GJ_02@cotecna.test,RM_GJ_02@cotecna.test,23-06-2015,01-11-1972,40000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
RM_GJ_03,Location Manager,GJ,Regional Manager,GENERAL,49,1122393,1,RM_GJ_03@cotecna.test,RM_GJ_03@cotecna.test,23-07-2015,01-11-1973,40000,01-04-2019,31-12-2099,F,Employee,Manager,Finance,,,,,,,
MGR_GJ_04,Business Manager,GJ,Reporting Manager,GENERAL,50,1122394,48,MGR_GJ_04@cotecna.test,MGR_GJ_04@cotecna.test,23-08-2015,01-11-1974,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_GJ_05,Business Manager,GJ,Reporting Manager,GENERAL,51,1122395,48,MGR_GJ_05@cotecna.test,MGR_GJ_05@cotecna.test,23-09-2015,01-11-1975,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_GJ_06,Business Manager,GJ,Reporting Manager,GENERAL,52,1122396,49,MGR_GJ_06@cotecna.test,MGR_GJ_06@cotecna.test,23-10-2015,01-11-1976,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_GJ_07,Business Manager,GJ,Reporting Manager,GENERAL,53,1122397,49,MGR_GJ_07@cotecna.test,MGR_GJ_07@cotecna.test,23-11-2015,01-11-1977,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
Employee_GJ_08,Member of Staff,GJ,Employee,STAFF,54,1122398,50,EMPLOYEE_GJ_08@cotecna.test,EMPLOYEE_GJ_08@cotecna.test,23-12-2015,01-11-1978,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_09,Member of Staff,GJ,Employee,STAFF,55,1122399,50,EMPLOYEE_GJ_09@cotecna.test,EMPLOYEE_GJ_09@cotecna.test,23-01-2016,01-11-1979,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_10,Member of Staff,GJ,Employee,STAFF,56,1122400,50,EMPLOYEE_GJ_10@cotecna.test,EMPLOYEE_GJ_10@cotecna.test,23-02-2016,01-11-1980,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_11,Member of Staff,GJ,Employee,STAFF,57,1122401,50,EMPLOYEE_GJ_11@cotecna.test,EMPLOYEE_GJ_11@cotecna.test,23-03-2016,01-11-1981,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_12,Member of Staff,GJ,Employee,STAFF,58,1122402,51,EMPLOYEE_GJ_12@cotecna.test,EMPLOYEE_GJ_12@cotecna.test,23-04-2016,01-11-1982,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_13,Member of Staff,GJ,Employee,STAFF,59,1122403,51,EMPLOYEE_GJ_13@cotecna.test,EMPLOYEE_GJ_13@cotecna.test,23-05-2016,01-11-1983,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_14,Member of Staff,GJ,Employee,STAFF,60,1122404,51,EMPLOYEE_GJ_14@cotecna.test,EMPLOYEE_GJ_14@cotecna.test,23-06-2016,01-11-1984,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_15,Member of Staff,GJ,Employee,STAFF,61,1122405,51,EMPLOYEE_GJ_15@cotecna.test,EMPLOYEE_GJ_15@cotecna.test,23-07-2016,01-11-1985,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_16,Member of Staff,GJ,Employee,STAFF,62,1122406,51,EMPLOYEE_GJ_16@cotecna.test,EMPLOYEE_GJ_16@cotecna.test,23-08-2016,01-11-1986,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_17,Inspector,GJ,Employee,INSPECTOR,63,1122407,52,EMPLOYEE_GJ_17@cotecna.test,EMPLOYEE_GJ_17@cotecna.test,23-09-2016,01-11-1987,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_18,Inspector,GJ,Employee,INSPECTOR,64,1122408,52,EMPLOYEE_GJ_18@cotecna.test,EMPLOYEE_GJ_18@cotecna.test,23-10-2016,01-11-1988,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_19,Inspector,GJ,Employee,INSPECTOR,65,1122409,52,EMPLOYEE_GJ_19@cotecna.test,EMPLOYEE_GJ_19@cotecna.test,23-11-2016,01-11-1989,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_20,Inspector,GJ,Employee,INSPECTOR,66,1122410,52,EMPLOYEE_GJ_20@cotecna.test,EMPLOYEE_GJ_20@cotecna.test,23-12-2016,01-11-1990,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_21,Inspector,GJ,Employee,INSPECTOR,67,1122411,53,EMPLOYEE_GJ_21@cotecna.test,EMPLOYEE_GJ_21@cotecna.test,23-01-2017,01-11-1991,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_GJ_22,Inspector,GJ,Employee,INSPECTOR,68,1122412,53,EMPLOYEE_GJ_22@cotecna.test,EMPLOYEE_GJ_22@cotecna.test,23-02-2017,01-11-1992,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
COORD_GJ_23,Location Co-ordinator,GJ,Employee,STAFF,69,1122413,53,COORD_GJ_23@cotecna.test,COORD_GJ_23@cotecna.test,23-03-2017,01-11-1993,20000,01-04-2019,31-12-2099,F,Employee,Timesheet Coordinator,,,,,,,,
HR_GJ_24,HR Manager,GJ,Employee,GENERAL,70,1122414,48,HR_GJ_24@cotecna.test,HR_GJ_24@cotecna.test,23-04-2017,01-11-1994,20000,01-04-2019,31-12-2099,F,Employee,Human Resources,,,,,,,,
RM_MH_02,Location Manager,MH,Regional Manager,GENERAL,71,1122415,1,RM_MH_02@cotecna.test,RM_MH_02@cotecna.test,01-01-2016,17-12-1989,40000,01-04-2019,31-12-2099,M,Employee,Manager,Finance,,,,,,,
RM_MH_03,Location Manager,MH,Regional Manager,GENERAL,72,1122416,1,RM_MH_03@cotecna.test,RM_MH_03@cotecna.test,01-02-2016,18-12-1989,40000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_MH_04,Business Manager,MH,Reporting Manager,GENERAL,73,1122417,71,MGR_MH_04@cotecna.test,MGR_MH_04@cotecna.test,01-03-2016,19-12-1989,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MH_05,Business Manager,MH,Reporting Manager,GENERAL,74,1122418,71,MGR_MH_05@cotecna.test,MGR_MH_05@cotecna.test,01-04-2016,20-12-1989,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_MH_06,Business Manager,MH,Reporting Manager,GENERAL,75,1122419,72,MGR_MH_06@cotecna.test,MGR_MH_06@cotecna.test,01-05-2016,21-12-1989,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MH_07,Business Manager,MH,Reporting Manager,GENERAL,76,1122420,72,MGR_MH_07@cotecna.test,MGR_MH_07@cotecna.test,01-06-2016,22-12-1989,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
Employee_MH_08,Member of Staff,MH,Employee,STAFF,77,1122421,76,EMPLOYEE_MH_08@cotecna.test,EMPLOYEE_MH_08@cotecna.test,01-07-2016,23-12-1989,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_09,Member of Staff,MH,Employee,STAFF,78,1122422,76,EMPLOYEE_MH_09@cotecna.test,EMPLOYEE_MH_09@cotecna.test,01-08-2016,24-12-1989,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_10,Member of Staff,MH,Employee,STAFF,79,1122423,76,EMPLOYEE_MH_10@cotecna.test,EMPLOYEE_MH_10@cotecna.test,01-09-2016,25-12-1989,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_11,Member of Staff,MH,Employee,STAFF,80,1122424,76,EMPLOYEE_MH_11@cotecna.test,EMPLOYEE_MH_11@cotecna.test,01-10-2016,26-12-1989,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_12,Member of Staff,MH,Employee,STAFF,81,1122425,76,EMPLOYEE_MH_12@cotecna.test,EMPLOYEE_MH_12@cotecna.test,01-11-2016,27-12-1989,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_13,Member of Staff,MH,Employee,STAFF,82,1122426,76,EMPLOYEE_MH_13@cotecna.test,EMPLOYEE_MH_13@cotecna.test,01-12-2016,28-12-1989,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_14,Member of Staff,MH,Employee,STAFF,83,1122427,75,EMPLOYEE_MH_14@cotecna.test,EMPLOYEE_MH_14@cotecna.test,01-01-2017,29-12-1989,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_15,Member of Staff,MH,Employee,STAFF,84,1122428,75,EMPLOYEE_MH_15@cotecna.test,EMPLOYEE_MH_15@cotecna.test,01-02-2017,30-12-1989,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_16,Member of Staff,MH,Employee,STAFF,85,1122429,74,EMPLOYEE_MH_16@cotecna.test,EMPLOYEE_MH_16@cotecna.test,01-03-2017,31-12-1989,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_17,Inspector,MH,Employee,INSPECTOR,86,1122430,74,EMPLOYEE_MH_17@cotecna.test,EMPLOYEE_MH_17@cotecna.test,01-04-2017,01-01-1990,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_18,Inspector,MH,Employee,INSPECTOR,87,1122431,74,EMPLOYEE_MH_18@cotecna.test,EMPLOYEE_MH_18@cotecna.test,01-05-2017,02-01-1990,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_19,Inspector,MH,Employee,INSPECTOR,88,1122432,74,EMPLOYEE_MH_19@cotecna.test,EMPLOYEE_MH_19@cotecna.test,01-06-2017,03-01-1990,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_20,Inspector,MH,Employee,INSPECTOR,89,1122433,74,EMPLOYEE_MH_20@cotecna.test,EMPLOYEE_MH_20@cotecna.test,01-07-2017,04-01-1990,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_MH_21,Inspector,MH,Employee,INSPECTOR,90,1122434,73,EMPLOYEE_MH_21@cotecna.test,EMPLOYEE_MH_21@cotecna.test,01-08-2017,05-01-1990,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MH_22,Inspector,MH,Employee,INSPECTOR,91,1122435,73,EMPLOYEE_MH_22@cotecna.test,EMPLOYEE_MH_22@cotecna.test,01-09-2017,06-01-1990,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
COORD_MH_23,Location Co-ordinator,MH,Employee,STAFF,92,1122436,73,COORD_MH_23@cotecna.test,COORD_MH_23@cotecna.test,01-10-2017,07-01-1990,20000,01-04-2019,31-12-2099,M,Employee,Timesheet Coordinator,,,,,,,,
HR_MH_24,HR Manager,MH,Employee,GENERAL,93,1122437,71,HR_MH_24@cotecna.test,HR_MH_24@cotecna.test,01-11-2017,08-01-1990,20000,01-04-2019,31-12-2099,F,Employee,Human Resources,,,,,,,,
RM_MP_02,Location Manager,MP,Regional Manager,GENERAL,94,1122438,1,RM_MP_02@cotecna.test,RM_MP_02@cotecna.test,01-02-2016,12-12-1980,40000,01-04-2019,31-12-2099,M,Employee,Manager,Finance,,,,,,,
RM_MP_03,Location Manager,MP,Regional Manager,GENERAL,95,1122439,1,RM_MP_03@cotecna.test,RM_MP_03@cotecna.test,02-02-2016,12-01-1981,40000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MP_04,Business Manager,MP,Reporting Manager,GENERAL,96,1122440,94,MGR_MP_04@cotecna.test,MGR_MP_04@cotecna.test,03-02-2016,12-02-1981,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MP_05,Business Manager,MP,Reporting Manager,GENERAL,97,1122441,94,MGR_MP_05@cotecna.test,MGR_MP_05@cotecna.test,04-02-2016,12-03-1981,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MP_06,Business Manager,MP,Reporting Manager,GENERAL,98,1122442,95,MGR_MP_06@cotecna.test,MGR_MP_06@cotecna.test,05-02-2016,12-04-1981,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_MP_07,Business Manager,MP,Reporting Manager,GENERAL,99,1122443,95,MGR_MP_07@cotecna.test,MGR_MP_07@cotecna.test,08-02-2016,12-05-1981,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
Employee_MP_08,Member of Staff,MP,Employee,STAFF,100,1122444,96,EMPLOYEE_MP_08@cotecna.test,EMPLOYEE_MP_08@cotecna.test,09-02-2016,12-06-1981,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_09,Member of Staff,MP,Employee,STAFF,101,1122445,96,EMPLOYEE_MP_09@cotecna.test,EMPLOYEE_MP_09@cotecna.test,10-02-2016,12-07-1981,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_10,Member of Staff,MP,Employee,STAFF,102,1122446,96,EMPLOYEE_MP_10@cotecna.test,EMPLOYEE_MP_10@cotecna.test,11-02-2016,12-08-1981,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_11,Member of Staff,MP,Employee,STAFF,103,1122447,96,EMPLOYEE_MP_11@cotecna.test,EMPLOYEE_MP_11@cotecna.test,12-02-2016,12-09-1981,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_12,Member of Staff,MP,Employee,STAFF,104,1122448,97,EMPLOYEE_MP_12@cotecna.test,EMPLOYEE_MP_12@cotecna.test,15-02-2016,12-10-1981,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_13,Member of Staff,MP,Employee,STAFF,105,1122449,97,EMPLOYEE_MP_13@cotecna.test,EMPLOYEE_MP_13@cotecna.test,16-02-2016,12-11-1981,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_14,Member of Staff,MP,Employee,STAFF,106,1122450,97,EMPLOYEE_MP_14@cotecna.test,EMPLOYEE_MP_14@cotecna.test,17-02-2016,12-12-1981,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_15,Member of Staff,MP,Employee,STAFF,107,1122451,97,EMPLOYEE_MP_15@cotecna.test,EMPLOYEE_MP_15@cotecna.test,18-02-2016,12-01-1982,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_16,Member of Staff,MP,Employee,STAFF,108,1122452,98,EMPLOYEE_MP_16@cotecna.test,EMPLOYEE_MP_16@cotecna.test,19-02-2016,12-02-1982,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_17,Inspector,MP,Employee,INSPECTOR,109,1122453,98,EMPLOYEE_MP_17@cotecna.test,EMPLOYEE_MP_17@cotecna.test,22-02-2016,12-03-1982,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_MP_18,Inspector,MP,Employee,INSPECTOR,110,1122454,98,EMPLOYEE_MP_18@cotecna.test,EMPLOYEE_MP_18@cotecna.test,23-02-2016,12-04-1982,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
